"S","I","R","D","H","beds","ISO"
"8512.721326541867","0.0005342117946392208","7465183.174781588","505569.0516788499","0.00010684235892784416","19089.225","CH"
"8512.721326219658","0.0004880875566284166","7465183.174825247","505569.0516802433","9.761751132568333e-05","19089.225","CH"
"8512.721325925266","0.00044594517042460054","7465183.174865139","505569.05168151646","8.918903408492011e-05","19089.225","CH"
"8512.721325656288","0.000407440947211003","7465183.174901585","505569.05168267974","8.14881894422006e-05","19089.225","CH"
"8512.721325410534","0.0003722608543758838","7465183.174934885","505569.0516837425","7.445217087517677e-05","19089.225","CH"
"8512.721325185994","0.0003401179572490555","7465183.17496531","505569.0516847136","6.80235914498111e-05","19089.225","CH"
"8512.721324980841","0.0003107500815077776","7465183.17499311","505569.0516856008","6.215001630155553e-05","19089.225","CH"
"8512.7213247934","0.0002839176771152411","7465183.175018509","505569.05168641143","5.6783535423048225e-05","19089.225","CH"
"8512.721324622142","0.0002594018665760625","7465183.175041714","505569.0516871521","5.188037331521251e-05","19089.225","CH"
"8512.721324465669","0.00023700266150442187","7465183.175062915","505569.05168782873","4.7400532300884374e-05","19089.225","CH"
"8512.721324322703","0.00021653733300311477","7465183.175082289","505569.05168844695","4.330746660062296e-05","19089.225","CH"
"8512.721324192084","0.00019783892259712488","7465183.1750999885","505569.0516890118","3.956778451942498e-05","19089.225","CH"
"8512.721324072743","0.00018075488163515535","7465183.175116159","505569.05168952787","3.6150976327031074e-05","19089.225","CH"
"8512.721323963715","0.0001651475234420914","7465183.175130933","505569.05168999935","3.3029504688418286e-05","19089.225","CH"
"8512.7213238641","0.00015088761426877635","7465183.175144429","505569.05169043015","3.0177522853755272e-05","19089.225","CH"
"8512.721323773085","0.00013785883629791496","7465183.175156763","505569.05169082375","2.7571767259582993e-05","19089.225","CH"
"8512.721323689928","0.00012595490972553466","7465183.175168031","505569.0516911834","2.5190981945106933e-05","19089.225","CH"
"8512.721323613952","0.00011507872677328695","7465183.175178326","505569.051691512","2.301574535465739e-05","19089.225","CH"
"8512.721323544532","0.00010514156037931846","7465183.17518773","505569.05169181223","2.1028312075863692e-05","19089.225","CH"
"8512.721323481112","9.606234115007377e-05","7465183.1751963245","505569.05169208656","1.9212468230014757e-05","19089.225","CH"
"8512.721323423164","8.776699666863926e-05","7465183.175204177","505569.0516923372","1.755339933372785e-05","19089.225","CH"
"8512.721323370219","8.018784780627975e-05","7465183.175211351","505569.05169256625","1.6037569561255953e-05","19089.225","CH"
"8512.721323321846","7.32630571002916e-05","7465183.175217906","505569.05169277545","1.465261142005832e-05","19089.225","CH"
"8512.72132327765","6.693612470998314e-05","7465183.175223894","505569.05169296655","1.3387224941996628e-05","19089.225","CH"
"8512.721323237267","6.115542785079487e-05","7465183.175229366","505569.0516931411","1.2231085570158974e-05","19089.225","CH"
"8512.721323200369","5.587379995882898e-05","7465183.175234365","505569.05169330066","1.1174759991765797e-05","19089.225","CH"
"8512.72132316666","5.1048146163975586e-05","7465183.175238934","505569.0516934464","1.0209629232795117e-05","19089.225","CH"
"8512.721323135858","4.6639091931974544e-05","7465183.1752431085","505569.0516935796","9.327818386394909e-06","19089.225","CH"
