"S","I","R","D","H","beds","ISO"
"9014.285927015337","69749.55907929983","7399147.119024736","503461.51798448234","13949.911815859967","19089.225","CH"
"8969.856219390269","63730.81259993536","7404846.504640507","503643.413270092","12746.162519987072","19089.225","CH"
"8929.451934196566","58231.245832697896","7410054.077429792","503809.61240166484","11646.24916653958","19089.225","CH"
"8892.693475415781","53206.1049981195","7414812.262765547","503961.4693804657","10641.220999623902","19089.225","CH"
"8859.239488412748","48614.488865787855","7419159.828677723","504100.2214840459","9722.89777315757","19089.225","CH"
"8828.78261378847","44419.01802533451","7423132.200729897","504226.9993154982","8883.803605066902","19089.225","CH"
"8801.045773788814","40585.532389066626","7426761.749857589","504342.8359897864","8117.106477813326","19089.225","CH"
"8775.778915458668","37082.81454530174","7430078.055477559","504448.6755308493","7416.562909060349","19089.225","CH"
"8752.75614679722","33882.336776861914","7433108.145982435","504545.3805469624","6776.467355372383","19089.225","CH"
"8731.773212135126","30958.029739570844","7435876.7185560735","504633.739246121","6191.6059479141695","19089.225","CH"
"8712.645261212518","28286.070961967736","7438406.340080889","504714.47184797673","5657.214192393548","19089.225","CH"
"8695.204873301975","25844.691480707563","7440717.63075791","504788.2364440519","5168.938296141513","19089.225","CH"
"8679.300303446322","23613.999067122535","7442829.4319223445","504855.6343535549","4722.799813424507","19089.225","CH"
"8664.793922670475","21575.816630010453","7444758.959411157","504917.2150180917","4315.163326002091","19089.225","CH"
"8651.56082804694","19713.534498921646","7446521.943723326","504973.4804748631","3942.7068997843294","19089.225","CH"
"8639.487601877256","18011.9754015151","7448132.758107488","505024.8894445704","3602.39508030302","19089.225","CH"
"8628.471202108147","16457.271048954975","7449604.535614679","505071.86106714036","3291.4542097909953","19089.225","CH"
"8618.417968519634","15036.749335391083","7450949.276065002","505114.7783155549","3007.349867078217","19089.225","CH"
"8609.242731275786","13738.831241959653","7452177.943795837","505153.99111547525","2747.7662483919307","19089.225","CH"
"8600.868010177988","12552.936613129452","7453300.556984769","505189.81919597305","2510.5873226258905","19089.225","CH"
"8593.223294454176","11469.39804410191","7454326.269272433","505222.55469451554","2293.879608820382","19089.225","CH"
"8586.244394196914","10479.382182902753","7455263.444348202","505252.4645373592","2095.8764365805505","19089.225","CH"
"8579.872855661702","9574.817810274253","7456119.724104697","505279.7926146942","1914.9635620548506","19089.225","CH"
